"ORIGINAL"	"DBFIELD"
"ContractFolderStatus.TenderingTerms.RequiredFinancialGuarantee.GuaranteeTypeCode"	"Garantia_Requerida_Provisional/Tipo"
"ContractFolderStatus.TenderingTerms.RequiredFinancialGuarantee.LiabilityAmount"	"Garantia_Requerida_Provisional/Importe"
"ContractFolderStatus.TenderingTerms.RequiredFinancialGuarantee.AmountRate"	"Garantia_Requerida_Provisional/Porcentaje"
"ContractFolderStatus.TenderingTerms.TendererQualificationRequest.PersonalSituation"	"Requisitos_de_Participacion/Titulo_Habilitante"
"ContractFolderStatus.TenderingTerms.TendererQualificationRequest.Description"	"Requisitos_de_Participacion/Solvencia_Requerida"
"ContractFolderStatus.TenderingTerms.TendererQualificationRequest.RequiredBusinessClassificationScheme.ClassificationCategory.CodeValue"	"Requisitos_de_Participacion/Calificacion_Empresarial_Solicitada/Codigo"
"ContractFolderStatus.TenderingTerms.TendererQualificationRequest.SpecificTendererRequirement.RequirementTypeCode"	"Requisitos_de_Participacion/Condiciones_de_Admision_Codigo"
"ContractFolderStatus.TenderingTerms.TendererQualificationRequest.SpecificTendererRequirement.Description"	"Requisitos_de_Participacion/Condiciones_de_Admision"
"ContractFolderStatus.TenderingTerms.TendererQualificationRequest.TechnicalEvaluationCriteria.EvaluationCriteriaTypeCode"	"Requisitos_de_Participacion/Criterio_de_Evaluacion_Tecnica/Codigo"
"ContractFolderStatus.TenderingTerms.TendererQualificationRequest.TechnicalEvaluationCriteria.Description"	"Requisitos_de_Participacion/Criterio_de_Evaluacion_Tecnica/Descripcion"
"ContractFolderStatus.TenderingTerms.TendererQualificationRequest.TechnicalEvaluationCriteria.ThresholdQuantity"	"Requisitos_de_Participacion/Criterio_de_Evaluacion_Tecnica/Valor_de_Corte"
"ContractFolderStatus.TenderingTerms.TendererQualificationRequest.FinancialEvaluationCriteria.EvaluationCriteriaTypeCode"	"Requisitos_de_Participacion/Criterio_de_Evaluacion_Economica_Financiera/Codigo"
"ContractFolderStatus.TenderingTerms.TendererQualificationRequest.FinancialEvaluationCriteria.Description"	"Requisitos_de_Participacion/Criterio_de_Evaluacion_Economica_Financiera/Descripcion"
"ContractFolderStatus.TenderingTerms.TendererQualificationRequest.FinancialEvaluationCriteria.ThresholdQuantity"	"Requisitos_de_Participacion/Criterio_de_Evaluacion_Economica_Financiera/Valor_de_Corte"
"ContractFolderStatus.TenderingTerms.TendererQualificationRequest.OperatingYearsQuantity"	"Requisitos_de_Participacion/Experiencia/Cantidad"
"ContractFolderStatus.TenderingTerms.TendererQualificationRequest.OperatingYearsDescription"	"Requisitos_de_Participacion/Experiencia/Descripcion"
"ContractFolderStatus.TenderingTerms.TendererQualificationRequest.EmployeeQuantity"	"Requisitos_de_Participacion/Empleados/Cantidad"
